id,flavor
elixir_of_knowledge,Эликсир знания. Знание – это бремя. Ты несёшь его.
elixir_of_truth,Эликсир истины. Истина – это удар. Ты падаешь.
elixir_of_illusion,Эликсир иллюзии. Иллюзия – это спасение. Ты в ней.
elixir_of_dreams,Эликсир снов. Сны – это реальность. Ты спишь наяву.
elixir_of_nightmares,Эликсир кошмаров. Кошмары – это друзья. Ты не один.
elixir_of_memory,Эликсир памяти. Память – это яд. Ты пьёшь его.
elixir_of_oblivion,Эликсир забвения. Забвение – это покой. Ты ищешь его.
elixir_of_transformation,Эликсир трансформации. Ты меняешься – но не становишься лучше.
elixir_of_evolution,Эликсир эволюции. Эволюция – это ошибка. Ты ошибка.
elixir_of_perfection,Эликсир совершенства. Совершенство – это скука. Ты скучаешь.
elixir_of_imperfection,Эликсир несовершенства. Несовершенство – это ты. И это нормально.
elixir_of_balance,Эликсир баланса. Баланс – это равновесие. Ты падаешь.
elixir_of_chaos,Эликсир хаоса. Хаос – это свобода. Ты свободен.
elixir_of_order,Эликсир порядка. Порядок – это тюрьма. Ты в ней.
elixir_of_light,Эликсир света. Свет – это ложь. Ты слеп.
elixir_of_darkness,Эликсир тьмы. Тьма – это правда. Ты видишь.
elixir_of_void,Эликсир пустоты. Пустота – это дом. Ты дома.
elixir_of_existence,Эликсир существования. Существование – это чудо. Ты не веришь.
elixir_of_nonexistence,Эликсир несуществования. Несуществование – это покой. Ты хочешь.
elixir_of_beginning,Эликсир начала. Начало – это конец. Ты начинаешь.
elixir_of_end,Эликсир конца. Конец – это начало. Ты заканчиваешь.
elixir_of_cycle,Эликсир цикла. Цикл – это бесконечность. Ты в нём.
elixir_of_choice,Эликсир выбора. Выбор – это иллюзия. Ты уже выбрал.
elixir_of_fate,Эликсир судьбы. Судьба – это сценарий. Ты читаешь.
elixir_of_destiny,Эликсир предназначения. Предназначение – это рабство. Ты раб.
elixir_of_creation,Эликсир созидания. Созидание – это ложь. Ты не создаёшь.
elixir_of_destruction,Эликсир разрушения. Разрушение – это истина. Ты истина.
elixir_of_life,Эликсир жизни. Жизнь – это билет. Ты не выходишь.
elixir_of_death,Эликсир смерти. Смерть – это станция. Ты прибыл.
